"internal_id","hierarchical_label"
"IT:ASVe:2009.001.002.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIII. Amministrazione giudiziaria, 1835 - 1839"
"IT:ASVe:2009.001.002.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Prestazioni militari, 1835 - 1839"
"IT:ASVe:2009.001.002.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Pensioni, 1835 - 1839"
"IT:ASVe:2009.001.002.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Impiegati, 1835 - 1839"
"IT:ASVe:2009.001.002.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVIII. Privative, 1835 - 1839"
"IT:ASVe:2009.001.002.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIX. Sali, 1835 - 1839"
"IT:ASVe:2009.001.002.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XX. Polveri, 1835 - 1839"
"IT:ASVe:2009.001.002.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXII. Boschi, 1835 - 1839"
"IT:ASVe:2009.001.002.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Miniere, 1835 - 1839"
"IT:ASVe:2009.001.002.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Poste, 1835 - 1839"
"IT:ASVe:2009.001.002.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Diritti uniti, 1835 - 1839"
"IT:ASVe:2009.001.002.023","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXVI. Palazzi reali, 1835 - 1839"
"IT:ASVe:2009.001.003.001","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> I. Dogane, 1840 - 1844"
"IT:ASVe:2009.001.003.002","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> II. Beni, 1840 - 1844"
"IT:ASVe:2009.001.003.003","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> III. Pensioni, 1840 - 1844"
"IT:ASVe:2009.001.003.004","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IV. Cancellerie, 1840 - 1844"
"IT:ASVe:2009.001.003.005","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> V. Guardia di finanza, 1840 - 1844"
"IT:ASVe:2009.001.003.006","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VI. Amministrazione, 1840 - 1844"
"IT:ASVe:2009.001.003.007","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VII. Dazio consumo, 1840 - 1844"
"IT:ASVe:2009.001.003.008","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VIII. Privative, 1840 - 1844"
"IT:ASVe:2009.001.003.009","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IX. Diritti uniti, 1840 - 1844"
"IT:ASVe:2009.001.003.010","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> X. Zecca, 1840 - 1844"
"IT:ASVe:2009.001.003.011","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XI. Miniere, 1840 - 1844"
"IT:ASVe:2009.001.003.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XII. Sali, 1840 - 1844"
"IT:ASVe:2009.001.003.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Lotto, 1840 - 1844"
"IT:ASVe:2009.001.003.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Palazzi reali, 1840 - 1844"
"IT:ASVe:2009.001.003.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Debito pubblico, 1840 - 1844"
"IT:ASVe:2009.001.003.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIX. Boschi, 1840 - 1844"
"IT:ASVe:2009.001.003.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXI. Tasse giudiziarie, 1840 - 1844"
"IT:ASVe:2009.001.003.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Allegati, 1840 - 1844"
"IT:ASVe:2009.001.003.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Bollo carta, 1840 - 1844"
"IT:ASVe:2009.001.003.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Partita demaniale, 1840 - 1844"
"IT:ASVe:2009.001.003.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXVI. Casse, 1840 - 1844"
"IT:ASVe:2009.001.003.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> Miscellanea, 1841"
"IT:ASVe:2009.001.004.001","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> I. Cancellerie, 1845 - 1849"
"IT:ASVe:2009.001.004.002","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> II. Guardia, 1845 - 1849"
"IT:ASVe:2009.001.004.003","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> III. Boschi, 1845 - 1849"
"IT:ASVe:2009.001.004.004","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IV. Pensioni, 1845 - 1849"
"IT:ASVe:2009.001.004.005","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> V. Palazzi reali, 1845 - 1849"
"IT:ASVe:2009.001.004.006","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VI. Poste, 1845 - 1849"
"IT:ASVe:2009.001.004.007","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VII. Lotto, 1845 - 1849"
"IT:ASVe:2009.001.004.008","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VIII. Diritti uniti, 1845 - 1849"
"IT:ASVe:2009.001.004.009","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IX. Fisco, 1845 - 1849"
"IT:ASVe:2009.001.004.010","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> X. Dogane, 1845 - 1849"
"IT:ASVe:2009.001.004.011","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XI. Amministrazione giudiziaria, 1845 - 1849"
"IT:ASVe:2009.001.004.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XII. Casse, 1845 - 1849"
"IT:ASVe:2009.001.004.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIII. Zecca, 1845 - 1849"
"IT:ASVe:2009.001.004.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Miniere, 1845 - 1849"
"IT:ASVe:2009.001.004.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Tassa registro, 1845 - 1849"
"IT:ASVe:2009.001.004.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVI. Bollo, 1845 - 1849"
"IT:ASVe:2009.001.004.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Quintello, 1845 - 1849"
"IT:ASVe:2009.001.004.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVIII.-XIX. Tasse, 1845 - 1849"
"IT:ASVe:2009.001.004.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XX. Dazio consumo, 1845 - 1849"
"IT:ASVe:2009.001.004.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXI. Privative, 1845 - 1849"
"IT:ASVe:2009.001.004.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXII. Sali, 1845 - 1849"
"IT:ASVe:2009.001.004.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Polveri, 1845 - 1849"
"IT:ASVe:2009.001.004.023","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Debito pubblico, 1845 - 1849"
"IT:ASVe:2009.001.004.024","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Demanio e cassa d'amortizzazione, 1845 - 1849"
"IT:ASVe:2180.011.001.001.001","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1816, 1816"
"IT:ASVe:2180.011.001.001.002","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1817, 1817"
